ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
AADI,"Aadi Bioscience, Inc.",N/A,$1.58,0.0%,0.0%,$0.00,$39,N/A,0.0%,2.38,$7.24,$1.21
AAN,"Aaron's Company, Inc.",Industrials,$10.07,5.0%,3.2%,$0.50,$309,N/A,N/A,1.22,$11.73,$6.42
AAON,"AAON, INC.",Industrials,$94.54,0.0%,0.3%,$0.32,"$7,660",41.1,14.2%,1.03,$96.23,$52.07
AAT,"American Assets Trust, Inc.",Real Estate,$26.67,5.0%,4.8%,$1.33,"$1,622",30.4,149.5%,0.90,$27.55,$16.37
ABCB,Ameris Bancorp,Financial Services,$61.89,1.0%,1.1%,$0.60,"$4,275",13.7,13.3%,0.84,$64.88,$33.95
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Cyclical,$241.71,0.0%,0.0%,$0.90,"$4,831",12.1,0.0%,0.92,$277.13,$178.40
ABM,ABM INDUSTRIES INC /DE/,Industrials,$55.42,1.6%,1.6%,$1.12,"$3,479",14.1,22.8%,0.94,$56.30,$36.86
ABR,ARBOR REALTY TRUST INC,Real Estate,$13.34,12.9%,11.6%,$1.72,"$2,513",9.1,115.8%,1.09,$15.40,$10.71
ABUS,Arbutus Biopharma Corp,Healthcare,$3.90,0.0%,0.0%,$0.00,$734,N/A,0.0%,0.58,$3.98,$1.69
ACA,"Arcosa, Inc.",Industrials,$91.48,0.0%,0.3%,$0.20,"$4,459",30.3,6.7%,0.82,$95.50,$61.87
ACAD,ACADIA PHARMACEUTICALS INC,Healthcare,$15.93,0.0%,0.0%,$0.00,"$2,644",86.5,0.0%,0.70,$32.59,$14.55
ACCD,"Accolade, Inc.",N/A,$4.43,0.0%,0.0%,$0.00,$354,N/A,0.0%,2.30,$15.36,$3.35
